,feature,rank
0,DestinationPort,1
1,FlowDuration,1
2,TotalFwdPackets,1
3,TotalBackwardPackets,1
4,TotalLengthofFwdPackets,1
5,TotalLengthofBwdPackets,1
6,FwdPacketLengthMax,1
7,FwdPacketLengthMin,1
8,FwdPacketLengthMean,1
9,FwdPacketLengthStd,1
10,BwdPacketLengthMax,1
11,BwdPacketLengthMin,1
12,BwdPacketLengthMean,1
13,BwdPacketLengthStd,1
14,FlowBytes/s,1
15,FlowPackets/s,1
16,FlowIATMean,1
17,FlowIATStd,1
18,FlowIATMax,1
19,FlowIATMin,1
20,FwdIATTotal,1
21,FwdIATMean,1
22,FwdIATStd,1
23,FwdIATMax,1
24,FwdIATMin,1
25,BwdIATTotal,1
26,BwdIATMean,1
27,BwdIATStd,1
28,BwdIATMax,1
29,BwdIATMin,1
30,FwdPSHFlags,1
31,BwdPSHFlags,0
32,FwdURGFlags,0
33,BwdURGFlags,0
34,FwdHeaderLength,1
35,BwdHeaderLength,1
36,FwdPackets/s,1
37,BwdPackets/s,1
38,MinPacketLength,1
39,MaxPacketLength,1
40,PacketLengthMean,1
41,PacketLengthStd,1
42,PacketLengthVariance,1
43,FINFlagCount,0
44,SYNFlagCount,1
45,RSTFlagCount,0
46,PSHFlagCount,1
47,ACKFlagCount,1
48,URGFlagCount,1
49,CWEFlagCount,0
50,ECEFlagCount,0
51,Down/UpRatio,1
52,AveragePacketSize,1
53,AvgFwdSegmentSize,1
54,AvgBwdSegmentSize,1
55,FwdHeaderLength.1,1
56,FwdAvgBytes/Bulk,0
57,FwdAvgPackets/Bulk,0
58,FwdAvgBulkRate,0
59,BwdAvgBytes/Bulk,0
60,BwdAvgPackets/Bulk,0
61,BwdAvgBulkRate,0
62,SubflowFwdPackets,1
63,SubflowFwdBytes,1
64,SubflowBwdPackets,1
65,SubflowBwdBytes,1
66,Init_Win_bytes_forward,1
67,Init_Win_bytes_backward,1
68,act_data_pkt_fwd,1
69,min_seg_size_forward,1
70,ActiveMean,1
71,ActiveStd,1
72,ActiveMax,1
73,ActiveMin,1
74,IdleMean,1
75,IdleStd,1
76,IdleMax,1
77,IdleMin,1
78,Label,0
