,feature,rank
0,FlowID,1.0
1,SourceIP,1.0
2,SourcePort,0.0
3,DestinationIP,0.3
4,DestinationPort,0.6
5,Protocol,0.6
6,FlowDuration,0.0
7,TotalFwdPackets,0.0
8,TotalBackwardPackets,0.3
9,TotalLengthofFwdPackets,1.0
10,TotalLengthofBwdPackets,0.6
11,FwdPacketLengthMax,1.0
12,FwdPacketLengthMin,0.9
13,FwdPacketLengthMean,1.0
14,FwdPacketLengthStd,1.0
15,BwdPacketLengthMax,1.0
16,BwdPacketLengthMin,1.0
17,BwdPacketLengthMean,1.0
18,BwdPacketLengthStd,1.0
19,FlowBytes/s,0.0
20,FlowPackets/s,0.7
21,FlowIATMean,0.0
22,FlowIATStd,0.0
23,FlowIATMax,0.0
24,FlowIATMin,0.5
25,FwdIATTotal,0.0
26,FwdIATMean,0.0
27,FwdIATStd,0.0
28,FwdIATMax,0.0
29,FwdIATMin,0.1
30,BwdIATTotal,0.9
31,BwdIATMean,0.0
32,BwdIATStd,0.2
33,BwdIATMax,0.9
34,BwdIATMin,0.0
35,FwdPSHFlags,1.0
36,BwdPSHFlags,0.0
37,FwdURGFlags,0.0
38,BwdURGFlags,0.0
39,FwdHeaderLength,0.1
40,BwdHeaderLength,0.4
41,FwdPackets/s,0.7
42,BwdPackets/s,0.0
43,MinPacketLength,0.9
44,MaxPacketLength,1.0
45,PacketLengthMean,1.0
46,PacketLengthStd,1.0
47,PacketLengthVariance,1.0
48,FINFlagCount,0.0
49,SYNFlagCount,0.2
50,RSTFlagCount,1.0
51,PSHFlagCount,0.0
52,ACKFlagCount,0.9
53,URGFlagCount,1.0
54,CWEFlagCount,1.0
55,ECEFlagCount,0.0
56,Down/UpRatio,1.0
57,AveragePacketSize,1.0
58,AvgFwdSegmentSize,1.0
59,AvgBwdSegmentSize,1.0
60,FwdHeaderLength.1,0.1
61,FwdAvgBytes/Bulk,0.0
62,FwdAvgPackets/Bulk,0.0
63,FwdAvgBulkRate,0.0
64,BwdAvgBytes/Bulk,0.0
65,BwdAvgPackets/Bulk,0.0
66,BwdAvgBulkRate,0.0
67,SubflowFwdPackets,0.0
68,SubflowFwdBytes,1.0
69,SubflowBwdPackets,0.3
70,SubflowBwdBytes,0.6
71,Init_Win_bytes_forward,0.0
72,Init_Win_bytes_backward,1.0
73,act_data_pkt_fwd,1.0
74,min_seg_size_forward,0.0
75,ActiveMean,0.3
76,ActiveStd,0.0
77,ActiveMax,0.3
78,ActiveMin,1.0
79,IdleMean,0.3
80,IdleStd,0.0
81,IdleMax,0.0
82,IdleMin,0.5
83,SimillarHTTP,0.8
84,Inbound,1.0
85,Label,0.0
