,feature,rank
0,FlowID,1
1,SourceIP,1
2,SourcePort,1
3,DestinationIP,0
4,DestinationPort,1
5,Protocol,1
6,FlowDuration,1
7,TotalFwdPackets,0
8,TotalBackwardPackets,0
9,TotalLengthofFwdPackets,0
10,TotalLengthofBwdPackets,0
11,FwdPacketLengthMax,1
12,FwdPacketLengthMin,1
13,FwdPacketLengthMean,1
14,FwdPacketLengthStd,1
15,BwdPacketLengthMax,1
16,BwdPacketLengthMin,1
17,BwdPacketLengthMean,1
18,BwdPacketLengthStd,1
19,FlowBytes/s,1
20,FlowPackets/s,1
21,FlowIATMean,0
22,FlowIATStd,0
23,FlowIATMax,1
24,FlowIATMin,0
25,FwdIATTotal,1
26,FwdIATMean,0
27,FwdIATStd,0
28,FwdIATMax,1
29,FwdIATMin,0
30,BwdIATTotal,1
31,BwdIATMean,0
32,BwdIATStd,0
33,BwdIATMax,1
34,BwdIATMin,0
35,FwdPSHFlags,1
36,BwdPSHFlags,0
37,FwdURGFlags,0
38,BwdURGFlags,0
39,FwdHeaderLength,0
40,BwdHeaderLength,0
41,FwdPackets/s,1
42,BwdPackets/s,0
43,MinPacketLength,1
44,MaxPacketLength,0
45,PacketLengthMean,1
46,PacketLengthStd,1
47,PacketLengthVariance,1
48,FINFlagCount,0
49,SYNFlagCount,0
50,RSTFlagCount,1
51,PSHFlagCount,0
52,ACKFlagCount,1
53,URGFlagCount,1
54,CWEFlagCount,1
55,ECEFlagCount,0
56,Down/UpRatio,1
57,AveragePacketSize,1
58,AvgFwdSegmentSize,1
59,AvgBwdSegmentSize,1
60,FwdHeaderLength.1,0
61,FwdAvgBytes/Bulk,0
62,FwdAvgPackets/Bulk,0
63,FwdAvgBulkRate,0
64,BwdAvgBytes/Bulk,0
65,BwdAvgPackets/Bulk,0
66,BwdAvgBulkRate,0
67,SubflowFwdPackets,0
68,SubflowFwdBytes,0
69,SubflowBwdPackets,0
70,SubflowBwdBytes,0
71,Init_Win_bytes_forward,1
72,Init_Win_bytes_backward,1
73,act_data_pkt_fwd,0
74,min_seg_size_forward,0
75,ActiveMean,0
76,ActiveStd,0
77,ActiveMax,0
78,ActiveMin,0
79,IdleMean,1
80,IdleStd,0
81,IdleMax,1
82,IdleMin,0
83,SimillarHTTP,0
84,Inbound,1
85,Label,0
