,feature,rank
0,FlowID,0
1,SourceIP,1
2,SourcePort,0
3,DestinationIP,1
4,DestinationPort,0
5,Protocol,1
6,FlowDuration,1
7,TotalFwdPackets,1
8,TotalBackwardPackets,1
9,TotalLengthofFwdPackets,0
10,TotalLengthofBwdPackets,1
11,FwdPacketLengthMax,0
12,FwdPacketLengthMin,1
13,FwdPacketLengthMean,0
14,FwdPacketLengthStd,1
15,BwdPacketLengthMax,1
16,BwdPacketLengthMin,1
17,BwdPacketLengthMean,1
18,BwdPacketLengthStd,1
19,FlowBytes/s,1
20,FlowPackets/s,1
21,FlowIATMean,1
22,FlowIATStd,1
23,FlowIATMax,1
24,FlowIATMin,1
25,FwdIATTotal,1
26,FwdIATMean,0
27,FwdIATStd,1
28,FwdIATMax,1
29,FwdIATMin,1
30,BwdIATTotal,0
31,BwdIATMean,1
32,BwdIATStd,1
33,BwdIATMax,0
34,BwdIATMin,0
35,FwdPSHFlags,0
36,BwdPSHFlags,0
37,FwdURGFlags,0
38,BwdURGFlags,0
39,FwdHeaderLength,1
40,BwdHeaderLength,0
41,FwdPackets/s,1
42,BwdPackets/s,1
43,MinPacketLength,1
44,MaxPacketLength,1
45,PacketLengthMean,1
46,PacketLengthStd,1
47,PacketLengthVariance,0
48,FINFlagCount,0
49,SYNFlagCount,0
50,RSTFlagCount,0
51,PSHFlagCount,0
52,ACKFlagCount,1
53,URGFlagCount,1
54,CWEFlagCount,0
55,ECEFlagCount,0
56,Down/UpRatio,1
57,AveragePacketSize,1
58,AvgFwdSegmentSize,0
59,AvgBwdSegmentSize,1
60,FwdHeaderLength.1,1
61,FwdAvgBytes/Bulk,0
62,FwdAvgPackets/Bulk,0
63,FwdAvgBulkRate,0
64,BwdAvgBytes/Bulk,0
65,BwdAvgPackets/Bulk,0
66,BwdAvgBulkRate,0
67,SubflowFwdPackets,1
68,SubflowFwdBytes,0
69,SubflowBwdPackets,1
70,SubflowBwdBytes,1
71,Init_Win_bytes_forward,0
72,Init_Win_bytes_backward,1
73,act_data_pkt_fwd,0
74,min_seg_size_forward,0
75,ActiveMean,1
76,ActiveStd,1
77,ActiveMax,0
78,ActiveMin,1
79,IdleMean,1
80,IdleStd,1
81,IdleMax,1
82,IdleMin,1
83,SimillarHTTP,0
84,Inbound,1
85,Label,0
